날짜,실거래가(평균),나스닥,다우존스,코스피,지가변동률,동행지수,소비자물가지수,생산자물가,거래량
2007년 01월 03일,398.9,2423.2,12474.52,1363.09,0.517,81,75.814,86.54,156
2007년 01월 04일,398.9,2453.4,12480.69,1363.09,0.517,81,75.814,86.54,156
2007년 01월 05일,398.9,2434.3,12398.01,1374.34,0.517,81,75.814,86.54,156
2007년 01월 08일,398.9,2438.2,12423.49,1435.26,0.517,81,75.814,86.54,156
2007년 01월 09일,398.9,2443.8,12416.6,1435.26,0.517,81,75.814,86.54,156
2007년 01월 10일,398.9,2459.3,12442.16,1435.26,0.517,81,75.814,86.54,156
2007년 01월 11일,398.9,2484.9,12514.98,1409.35,0.517,81,75.814,86.54,156
2007년 01월 12일,398.9,2502.8,12556.08,1397.29,0.517,81,75.814,86.54,156
2007년 01월 16일,398.9,2497.8,12582.59,1385.76,0.517,81,75.814,86.54,156
2007년 01월 17일,398.9,2479.4,12577.15,1370.81,0.517,81,75.814,86.54,156
2007년 01월 18일,398.9,2443.2,12567.93,1374.34,0.517,81,75.814,86.54,156
2007년 01월 19일,398.9,2451.3,12565.53,1355.79,0.517,81,75.814,86.54,156
2007년 01월 22일,398.9,2431.1,12477.16,1365.31,0.517,81,75.814,86.54,156
2007년 01월 23일,398.9,2431.4,12533.8,1388.37,0.517,81,75.814,86.54,156
2007년 01월 24일,398.9,2466.3,12621.77,1390.96,0.517,81,75.814,86.54,156
2007년 01월 25일,398.9,2434.2,12502.56,1389.71,0.517,81,75.814,86.54,156
2007년 01월 26일,398.9,2435.5,12487.02,1379.48,0.517,81,75.814,86.54,156
2007년 01월 29일,398.9,2441.1,12490.78,1383.21,0.517,81,75.814,86.54,156
2007년 01월 30일,398.9,2448.6,12523.31,1360.56,0.517,81,75.814,86.54,156
2007년 01월 31일,398.9,2463.9,12621.69,1363.41,0.517,81,75.814,86.54,156
2007년 02월 01일,414.7,2468.4,12673.68,1363.09,0.462,81.4,76.256,86.59,134
2007년 02월 02일,414.7,2475.9,12653.49,1383.06,0.462,81.4,76.256,86.59,134
2007년 02월 05일,414.7,2470.6,12661.74,1382.36,0.462,81.4,76.256,86.59,134
2007년 02월 06일,414.7,2471.5,12666.31,1371.33,0.462,81.4,76.256,86.59,134
2007년 02월 07일,414.7,2490.5,12666.87,1363.1,0.462,81.4,76.256,86.59,134
2007년 02월 08일,414.7,2488.7,12637.63,1370.72,0.462,81.4,76.256,86.59,134
2007년 02월 09일,414.7,2459.8,12580.83,1360.23,0.462,81.4,76.256,86.59,134
2007년 02월 12일,414.7,2450.4,12552.55,1382.9,0.462,81.4,76.256,86.59,134
2007년 02월 13일,414.7,2459.9,12654.85,1413.14,0.462,81.4,76.256,86.59,134
2007년 02월 14일,414.7,2488.4,12741.86,1417.95,0.462,81.4,76.256,86.59,134
2007년 02월 15일,414.7,2497.1,12765.01,1428.58,0.462,81.4,76.256,86.59,134
2007년 02월 16일,414.7,2496.3,12767.57,1426.29,0.462,81.4,76.256,86.59,134
2007년 02월 20일,414.7,2513,12786.64,1423.58,0.462,81.4,76.256,86.59,134
2007년 02월 21일,414.7,2518.4,12738.41,1427.68,0.462,81.4,76.256,86.59,134
2007년 02월 22일,414.7,2524.9,12686.02,1414.29,0.462,81.4,76.256,86.59,134
2007년 02월 23일,414.7,2515.1,12647.48,1418.44,0.462,81.4,76.256,86.59,134
